Phrases;nb Quotes;nb Mots;nb Maj;Entit�s Nomm�es (Nom propres);Entit�s Nomm�es (FULL);Mots annonciateurs
 « Je n’aurais jamais pensé que je serais de l’autre côté du trottoir »  Joan fait partie d’une catégorie d’Espagnols de la classe moyenne laborieuse qui payaient leurs factures de gaz, d’électricité et d’eau et n’avaient jamais imaginé devoir un jour recourir aux services sociaux.;1;44;2;1;1;0
 « Je n’aurais jamais pensé que je serais de l’autre côté du trottoir, avoue-t-il Ma compagne fait des demandes d’aide aux services sociaux et j’ai fait appel à l’Alliance contre la pauvreté énergétique (APE) Ils me conseillent pour réduire le montant des factures, pour essayer qu’on ne me coupe pas l’électricité » L’APE a été créée pour faire pression sur les administrations et les entreprises afin d’éviter les interruptions de service chez les plus vulnérables.;1;74;10;0;1;1
Au procès Balkany, l’audience plongée dans un océan d’argent liquide;0;10;1;1;1;0
« Il avait même des espèces dans les poches de son peignoir »;1;11;0;0;0;0
 « Je me demandais ce qu’elle faisait dans la vie pour avoir toujours des billets de 500 euros », racontera l’employée aux enquêteurs.;1;21;0;0;0;1
 « Les seuls billets de 500 que je voyais passer, c’était les Balkany », a expliqué la gérante de la boutique, où le couple dépensait jusqu’à 5 000 euros par an, « exclusivement en espèces Je n’ai jamais vu un chèque ni une carte bleue ».;2;41;2;1;1;1
 « Quand il avait besoin d’argent, [Patrick Balkany] descendait dans la salle de bains de sa femme, raconte une employée Il y avait deux cendriers en verre, avec des liasses de billets Dans la coiffeuse de madame, il y avait des billets J’ai pu voir l’intérieur du coffre-fort un jour où il avait oublié de le fermer, c’était plein de billets Une fois, j’ai fait tomber une pochette en papier, il y avait plein de billets par terre » « Il avait même régulièrement des espèces dans les poches de son peignoir », décrit une autre.;2;93;7;1;1;2
 Résumé : « Je n’ai jamais vu autant de billets de ma vie ».;1;12;1;0;0;0
Société Politique Dépenses quotidiennes, billets d’avion ou employés de maison : le maire de Levallois-Perret et son épouse, poursuivis notamment pour fraude fiscale, payaient quasiment tout en espèces.;0;27;4;0;1;0
 Article réservé aux abonnés A l’Intermarché de Saint-Marcel, dans l’Eure, les caissiers n’acceptent pas les billets de 500 euros.;0;19;5;0;1;0
 Alors le vendredi après-midi, quand elle vient depuis sa résidence voisine de Giverny pour y faire ses courses, Isabelle Balkany passe d’abord voir la responsable de la caisse centrale pour changer ses grosses coupures en de plus petites.;0;39;3;1;1;0
 Au pressing d’à côté, on a un jour trouvé sept billets mauves dans la poche d’un costume de Patrick Balkany.;0;21;2;1;1;0
 Au deuxième jour de leur procès prévu jusqu’au 20 juin, le tribunal correctionnel de Paris se penchait sur les faits de fraude fiscale reprochés au maire de Levallois-Perret (Hauts-de-Seine) et à son épouse – le volet blanchiment et corruption sera abordé dans un second temps.;0;45;5;0;1;0
 Pendant deux heures, le président Benjamin Blanchet a égrené le vaste patrimoine et livré un aperçu du train de vie d’un couple qui n’a pourtant jamais versé l’impôt sur la fortune avant 2015 – malgré quelque 16 millions d’euros d’actifs en 2013, par exemple, selon l’estimation du fisc – et qui avait pour habitude de payer en espèces, mais pas d’en retirer.;0;61;2;1;1;0
 Les enquêteurs ont ainsi recensé 29 732 euros de dépenses effectuées en argent liquide par les Balkany dans différents commerces de Saint-Marcel en 2015 et 2016, deux années au cours desquelles ils n’ont retiré que 2 000 euros de leurs comptes bancaires.;0;37;3;1;1;0
 Se rendre au distributeur était inutile : les grosses coupures faisaient partie du décor au moulin de Cossy, leur villa de 1 298 m2, onze chambres et neuf salles de bain, à en croire les témoignages du personnel que le président a lus à l’audience.;0;43;1;0;1;0
La crise entre Trump et les démocrates renforce l’hypothèse d’une tentative de destitution;0;13;1;1;1;0
Offensive démocrate;0;2;0;0;0;0
 Il s’est également indigné des accusations de « dissimulation » avancées plus tôt dans la journée par Nancy Pelosi au terme d’une réunion interne des démocrates de la Chambre.;1;28;3;1;1;0
International Donald Trump Le président américain a menacé de geler toute forme de collaboration avec les démocrates tant que ces derniers n’auront pas mis fin à leurs investigations.;0;28;3;1;1;0
 Article réservé aux abonnés Claquements de portes, menaces, dénégations outrées : la crise larvée entre le président des Etats-Unis et les démocrates du Congrès s’est enrichie d’un nouvel épisode spectaculaire, jeudi 22 mai.;0;32;4;0;1;0
 Celui-ci a aggravé la défiance entre les deux camps, confrontés plus que jamais à l’hypothèse périlleuse d’une procédure de destitution (impeachment).;0;22;0;0;0;0
 Donald Trump avait invité à la Maison Blanche en fin de matinée la speaker (présidente) de la Chambre, Nancy Pelosi (Californie) et le chef de la minorité sénatoriale Chuck Schumer (Etat de New York).;0;35;12;1;1;0
 Il s’agissait d’évoquer le financement d’un vaste projet de modernisation des infrastructures américaines, en souffrance depuis des décennies.;0;19;0;0;0;0
 Mais lorsque le président s’est avancé avec un quart d’heure de retard dans la salle de réunion où patientaient ses invités, il n’a été question ni de ponts ni de routes.;0;32;0;0;0;0
 Sans saluer personne ni même s’asseoir, Donald Trump a pesté contre la multiplication des enquêtes le visant émanant de la Chambre des représentants – conformément au pouvoir de contrôle de l’exécutif dont dispose cette dernière.;0;35;3;1;1;0
 Au bout d’une poignée de minutes, le président a tourné les talons pour tenir une brève conférence de presse hâtivement organisée dans la roseraie de la Maison Blanche, utilisée d’ordinaire pour des manifestations à caractère protocolaire.;0;37;2;0;1;0
 Il a alors réitéré ses critiques, menaçant de geler toute forme de collaboration avec les démocrates tant que ces derniers n’auront pas mis fin à leurs investigations.;0;28;0;0;0;0
 Depuis que les républicains ont perdu leur majorité à la Chambre, en novembre 2018, l’administration Trump fait face à une offensive en règle.;0;23;2;1;1;0
 Elle y a répondu par une cascade de refus concernant les auditions demandées de collaborateurs ou la livraison de documents, ainsi que par la multiplication de procédures en justice.;0;30;0;0;0;1
 Les démocrates visent notamment le rapport rendu en mars par le procureur spécial Robert Mueller sur les interférences prêtées la Russie pendant la présidentielle de 2016.;0;27;3;1;1;0
 Ils soupçonnent l’attorney general (ministre de la justice) William Barr, nommé par Donald Trump, d’en avoir fait une lecture biaisée.;0;21;4;1;1;0
 Ce dernier a ainsi jugé que ce rapport exonérait le président de soupçons de collusion et d’obstruction.;0;18;0;0;0;0
Réunion cruciale sur l’avenir du 737 MAX de Boeing;0;9;4;0;1;0
Correctif pas encore soumis;0;4;0;0;0;0
« Aucun calendrier »;1;2;0;0;0;0
 Elwell, soulignant toutefois qu’en tant qu’autorité d’origine du 737 MAX, la FAA « doit être le premier régulateur » à l’autoriser à voler à nouveau.;1;24;6;1;1;0
 « Il y a des conditions au retour en vol (du 737 MAX) et pour nous c’est que nous procédions à une évaluation indépendante », a fait savoir Jagello Fayl, responsable de la communication de l’agence européenne EASA.;1;37;9;1;1;0
 « Ça prendra le temps qu’il faudra pour faire les choses comme il se doit », a assuré M.;1;18;1;0;0;0
 « Il y a de la méfiance vis-à-vis de la FAA et de Boeing et les informations distillées au compte-gouttes sur ce que Boeing savait (…) sont fâcheuses », avance Scott Hamilton, expert chez Leeham.;1;34;8;1;1;1
 « Je ne suis attaché à aucun calendrier », a fait savoir Dan Elwell, chef intérimaire de la FAA, qui a refusé de s’aligner sur American Airlines et Southwest, deux compagnies clientes du 737 MAX, qui ont annulé les vols programmés pour cet avion jusqu’à la mi-août dans l’espoir que l’interdiction serait levée d’ici à juillet au plus tard.;1;58;11;1;1;0
Économie Transports Le système antidécrochage MCAS, mis en cause après les catastrophes d’Ethiopian airlines et de Lion Air, devrait être au centre des discussions.;0;24;9;0;1;0
 Jusqu’à quand les 737 MAX restera-t-il cloué au sol ?;0;10;3;0;1;0
 Cela fait 71 jours que ce modèle de l’avionneur Boeing est immobilisé, interdit de vol suite aux catastrophes aériennes d’Ethiopian airlines et de Lion Air, qui ont fait 346 morts.;0;31;4;0;1;0
 Jeudi 23 mai, une réunion cruciale entre l’Administration fédérale de l’aviation américaine (FAA) et des régulateurs de trente-trois pays, qui aura lieu à Fort Worth (Texas), pourrait donner une idée un peu plus précise quant au retour en service du 737 MAX.;0;42;10;0;1;0
 La rencontre, qui se tiendra à huis clos, débutera à 9 heures (heure locale) – 16 heures à Paris –, et pourrait durer toute la journée.;0;25;1;0;1;0
 Elle devrait fournir des indices sur les intentions et le degré de confiance que les autres autorités de l’aviation civile portent encore à Boeing ainsi qu’à la FAA.;0;29;4;0;1;0
 Ni Boeing ni les compagnies aériennes n’ont été conviés à cette réunion à l’issue de laquelle aucune déclaration commune n’est prévue.;0;22;1;0;1;0
 Une conférence de presse aura lieu en fin d’après-midi.;0;10;0;0;0;0
 Le système antidécrochage MCAS (Maneuvering Characteristics Augmentation System) devrait être au centre des discussions puisque c’est lui qui a été mis en cause dans le crash d’un avion de la compagnie Ethiopian Airlines en mars, qui a coûté la vie à 157 personnes, et dans la catastrophe de Lion Air en Indonésie fin octobre 2018, au cours de laquelle 189 personnes ont péri.;0;63;13;0;1;0
 Au mois de mars, Boeing avait effectué une mise à jour logicielle du système MCAS du 737 Max.;0;19;6;0;1;0
 Mais les autorités américaines ont annoncé mercredi que Boeing n’avait pas encore formellement soumis le correctif du 737 MAX pour certification.;0;22;4;0;1;0
 Une annonce qui intervient alors que l’avionneur avait affirmé la semaine dernière avoir finalisé les changements exigés par l’agence américaine et que le correctif était prêt pour certification.;0;29;0;0;0;0
 La formation finale des pilotes n’a pas non plus été tranchée : les autorités américaines estiment qu’une formation sur ordinateur ou iPad serait suffisante pour des pilotes expérimentés, alors que le régulateur canadien réclame un passage obligé sur simulateur qui a l’avantage de reproduire les conditions de vol.;0;48;1;0;0;0
 Au vu du retard pris par Boeing, il est difficile, selon M.;0;13;2;0;1;0
 Elwell, de déterminer quand interviendra la levée de l’interdiction de vol pour le 737 MAX.;0;16;3;1;1;0
 Jusqu’aux déboires du 737 MAX, un système de réciprocité qui voulait que les autres régulateurs s’en remissent à la certification de l’autorité d’origine avait toujours prévalu.;0;27;3;0;1;0
 Des responsables des autorités de l’aviation de l’Union européenne et du Canada ont expliqué qu’il n’était pas question de faire redécoller le 737 MAX chez eux tant que des questions resteront en suspens.;0;34;5;0;1;1
 Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique CHEVROLET SUBURBAN 29800 € 33 LEXUS LS 17990 € 95 MASERATI LEVANTE 89990 € 69 Recherche Dans la même rubrique Services RENAULT VEL SATIS 4500 € 38 ROLLS ROYCE GHOST 155000 € 98 JEEP COMPASS 38900 € 92 Recherche.;0;55;0;0;0;0
En Tunisie, forte affluence au pèlerinage juif de la Ghriba;0;10;2;0;1;0
« Comme des cousins »;1;3;0;0;0;0
 « Chaque fois que je viens ici, je rentre plein d’espoir pour l’avenir, indique à l’AFP Israël Elia, originaire de Djerba et rabbin d’une des principales synagogues londoniennes La Tunisie est une pionnière courageuse du respect mutuel, il y a une cohabitation extraordinaire » Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique Dans la même rubrique Services MERCEDES 300 2800 € 77 ROLLS ROYCE GHOST 155000 € 98 KIA RIO 6990 € 74 Recherche.;1;80;44;1;1;1
 « Cette année c’est archi plein, les gens viennent maintenant en pleine confiance, d’autant que M Trabelsi est devenu ministre » René Trabelsi, voyagiste et co-organisateur du pèlerinage, fils du responsable de la synagogue de la Ghriba, est devenu en novembre 2018 ministre du tourisme.;1;42;5;1;1;0
 « Mes parents ont quitté la Tunisie dans les années 1960, c’est la première fois que je viens découvrir mes racines, et nous avons été accueillis avec chaleur, comme des cousins », explique avec émotion Rami Trabelsi, un quadragénaire venu de Tel-Aviv, sans lien de parenté avec le ministre tunisien.;1;49;5;1;1;1
 « Ce n’est pas facile d’organiser tout cela alors que les gens jeûnent ici Ils sont fatigués, mais on est aussi bien accueillis que d’habitude », se réjouit Laura Tuil-Journo, venue de Paris.;1;32;5;0;1;0
 « Je reviendrai peut-être avec mes enfants, car c’est très important pour nous, en Israël, nous avons conservé notre culture, ces chants, cet accent, j’ai l’impression d’entendre la voix de mon père » défunt, confie-t-il.;1;34;1;1;1;1
 « La culture de la tolérance et de l’ouverture garantit la capacité à développer la citoyenneté et la démocratie (…) ainsi que le sentiment de l’appartenance à ce cher pays », a déclaré le premier ministre Youssef Chahed, qui est venu rompre le jeûne à la Ghriba avec M.;1;48;4;0;1;1
Tunisie Chaque année, sur l’île de Djerba, des milliers de juifs tunisiens exilés depuis l’indépendance viennent prier dans la plus vieille synagogue d’Afrique.;0;23;3;0;1;0
 Des milliers de fidèles juifs venus notamment de France et d’Israël, des ministres et des dignitaires ont assisté, mercredi 22 mai, au début du pèlerinage annuel de la Ghriba, la plus ancienne synagogue d’Afrique, sur l’île tunisienne de Djerba (sud).;0;40;5;0;1;0
 Organisé au 33e jour de la Pâque juive, ce pèlerinage coïncide cette année, pour la première fois depuis 1987, avec le mois sacré de jeûne musulman du ramadan.;0;29;1;0;1;0
 Plusieurs centaines de dirigeants politiques, religieux et économiques juifs et musulmans ont dîné ensemble à la rupture du jeûne, mercredi soir, devant la Ghriba, avec des diplomates et des membres de la communauté djerbienne.;0;35;1;0;1;0
 Les pèlerins ont défilé mercredi pour prier, allumer des bougies et inscrire leurs vœux sur des œufs, placés ensuite dans une cavité de la synagogue.;0;26;0;0;0;0
 Au milieu des youyous et des chants, certains ont fait bénir fruits secs et boukha – l’alcool de figue local – par les rabbins.;0;25;0;0;0;0
 Il est le premier Tunisien de confession juive à occuper un poste de ministre depuis l’ère de Habib Bourguiba (1957-1987).;0;21;3;1;1;0
 Trabelsi, le ministre des affaires religieuses Ahmed Adhoum, et le vice-président de la conférence des rabbins européens, Moché Lewin.;0;20;4;1;1;0
 En 2002, un attentat-suicide visant la synagogue avait tué 21 personnes.;0;11;0;0;0;0
 Plusieurs centaines de policiers et militaires, accompagnés de tanks et d’hélicoptères sont déployés pour protéger les pèlerins sur l’île, située à 125 km de la frontière libyenne.;0;27;0;0;0;0
 Avec l’amélioration de la sécurité en Tunisie ces dernières années, et la publicité faite au pèlerinage, ce dernier renoue peu à peu avec sa fréquentation d’avant 2002, quand il attirait quelque 8 000 fidèles chaque année.;0;36;1;0;1;0
 Plus de 5 000 personnes, dont environ 600 venues d’Israël, et d’autres de France, d’Angleterre ou de Russie, sont attendues pour ce pèlerinage de deux jours, dans la petite synagogue couverte de faïences.;0;33;4;0;1;0
 Le pèlerinage de la Ghriba est au cœur des traditions des Tunisiens de confession juive, qui ne sont plus que 1 500, majoritairement installés à Djerba, contre 100 000 avant l’indépendance en 1956.;0;31;3;0;1;0
Elections européennes : dates décalées, scrutin préférentiel, majorité à 16 ans… Comment vote-t-on en Europe ?;0;13;2;0;1;0
Des bureaux de vote ouverts du jeudi au dimanche à 23 heures;0;11;0;0;0;0
Electeurs dès 16 ans en Autriche, candidats dépassant 25 ans en Grèce;0;10;2;0;1;0
Des quotas de femmes (et d’hommes) imposés sur les listes dans onze pays;0;13;0;0;0;0
Dans dix-huit pays, on peut changer l’ordre de la liste;0;10;0;0;0;0
 « Cela permet de faire émerger des personnalités qui n’étaient pas en position éligible mais qui ont fait une belle campagne, de désavouer des responsables imposés par des partis et de créer une mobilisation autour de l’élection, estime Olivier Costa, qui est partisan de ce système L’inconvénient, c’est qu’il y a une prime aux personnalités connues » , le Luxembourg autorise même le « panachage » : l’électeur peut mélanger sur son bulletin de vote des candidats issus de listes différentes, jusqu’à obtenir le nombre de députés à élire.;2;84;4;1;1;1
 La tête de liste d’un grand parti est donc quasi certaine d’entrer au Parlement, même si elle est peu connue , le système le plus fréquent est le « vote préférentiel » : dans dix-huit pays (dont l’Italie, les Pays-Bas ou la Belgique), les électeurs votent pour une liste, et peuvent cocher leur candidat préféré.;1;52;5;0;1;0
 Pourtant, dès qu’elle a été portée sur les fonts baptismaux, la Communauté économique européenne prévoyait de se doter de représentants élus « au suffrage universel direct selon une procédure uniforme dans tous les Etats membres », comme le précisait le traité de Rome de 1957.;1;43;3;0;1;0
 Un système analogue existe pour les municipales françaises dans les petites communes , enfin, deux pays, l’Irlande et Malte, procèdent à un « vote unique transférable » : chaque électeur classe les candidats par ordre de préférence.;1;34;2;0;1;0
 Elections européennes : quatre modes de scrutin différents Dans dix-huit Etats, les électeurs peuvent choisir l'ordre des candidats, grâce au « vote préférentiel ».;1;25;2;0;1;0
 Si le principe de l’élection proportionnelle est respecté partout, les modes de scrutin divergent encore selon les Etats : en France, et dans six autres pays, on vote pour une « liste bloquée » : le citoyen choisit une liste dans son ensemble, les personnalités sont élues selon l’ordre de départ, en fonction du score obtenu.;1;53;2;0;1;0
 Retrouvez tous les articles explicatifs des Décodeurs dans notre rubrique « Pour comprendre ».;1;13;2;0;1;0
 Il y aura donc 705 députés au lieu de 751 , 27 sièges ont été répartis au bénéfice de 14 membres « sous représentés ».;1;23;0;0;0;0
 « Chacun a envie de procéder selon ses propres traditions nationales, explique Olivier Costa, chercheur au Centre national de la recherche scientifique (CNRS) Quarante ans après les premières élections européennes, le bilan n’est pas satisfaisant quant à la convergence des modes de scrutin » Les eurodéputés sont élus pour cinq ans renouvelables.;1;51;9;1;1;1
Pour comprendre Les Pays-Bas et le Royaume-Uni ont déjà commencé à voter pour les élections européennes.;0;16;5;0;1;0
 Tous les pays ne votent pas le même jour, ni de la même façon.;0;15;0;0;0;0
 Il aura fallu attendre 1979 pour que des élections européennes soient organisées.;0;13;0;0;0;0
 Avant cela, il y avait bien des députés européens, mais ceux-ci étaient tout simplement désignés par les Parlements nationaux.;0;20;1;0;1;0
 Le projet était ambitieux, mais il n’a pas abouti : les modalités de vote restent très différentes selon les pays.;0;20;0;0;0;0
 Pendant leur mandat, ils ne peuvent avoir aucune autre fonction dans les institutions ou organes de l’Union européenne, ni être députés ou sénateurs de leur pays.;0;27;1;0;1;0
 Le casse-tête britannique Cela ne faisait que peu de doute jusqu’à ces dernières semaines : trois ans après le vote des Britanniques pour sortir de l’Union européenne (UE), la plupart des observateurs étaient convaincus que le scrutin européen de 2019 se passerait sans eux, à 27.;0;46;5;0;1;0
 Dès lors, que faire des 73 sièges qu’ils occupaient jusque-là ?;0;11;0;0;0;0
 Porté notamment par Emmanuel Macron, un projet de listes transnationales a fait long feu.;0;15;2;1;1;0
 La proposition d’attribuer une partie des sièges laissés vacants par le Royaume-Uni à des listes mélangeant plusieurs nationalités a été rejetée en février 2018 par le Parlement européen.;0;28;3;0;1;0
 Ces 73 sièges seront ainsi répartis : 46 sièges seront laissés vacants en prévision d’un éventuel élargissement de l’UE.;0;19;2;0;1;0
 Sauf que sortir de l’UE s’avère long et complexe pour le Royaume-Uni.;0;13;4;0;1;0
 Au point qu’il est désormais plausible qu’il participe finalement à l’élection.;0;12;0;0;0;0
 Ainsi, Londres a pris les mesures légales afin d’organiser un scrutin le 23 mai… dans l’espoir qu’un accord soit voté d’ici là.;0;22;1;0;1;0
 Même sur la date, l’Europe ne présente pas un front uni.;0;12;1;0;1;0
 Les Britanniques et les Néerlandais votent les premiers, dès le le jeudi 23 mai, les Irlandais emboîtent le pas le lendemain, suivis des Maltais, des Lettons et des Slovaques.;0;29;6;0;1;0
 Les Tchèques sont les seuls à disposer de deux jours pour voter, alors que les vingt et un autres pays, dont la France, s’expriment le dimanche 26 mai.;0;26;2;0;1;0
 Les derniers bureaux de vote ferment leurs portes à 23 heures en Italie.;0;13;1;0;1;0
 Européennes : Britanniques et Hollandais votent dès le jeudi, mais le scrutin se déroule dimanche dans 21 Etats-membres Date du scrutin pour désigner les eurodéputés dans chaque pays en 2019.;0;31;4;0;1;0
 Source : Certains pays profitent de l’occasion pour organiser d’autres scrutins : les élections fédérales en Belgique, les régionales en Espagne, les municipales en Grèce… Le vote est obligatoire en Belgique, en Bulgarie et au Luxembourg, et dans une moindre mesure à Chypre et en Grèce, puisqu’il n’y a pas de sanctions.;0;52;10;0;1;0
 La maturité des citoyens européens diffère-t-elle selon les pays ?;0;10;0;0;0;0
 En tout cas, si la majorité électorale est fixée à 18 ans dans la plupart des Etats membres, les jeunes peuvent voter dès l’âge de 16 ans en Autriche et à Malte.;0;30;3;0;1;0
 En revanche, pour être candidat, les règles varient plus fortement : il suffit d’avoir 18 ans dans quinze pays, dont la France, mais il faut attendre 21 ans dans dix autres, 23 ans en Roumanie, et même l’âge de 25 ans en Italie ou en Grèce.;0;42;4;0;1;0
 Les listes françaises, italiennes, belges et luxembourgeoises doivent contenir autant d’hommes que de femmes.;0;15;0;0;0;0
 En Espagne, en Slovénie et en Croatie, elles doivent comporter au moins 40 % de candidats de chaque sexe , en Pologne, 35 % , en Grèce et au Portugal, 33 %.;0;28;6;0;1;0
 Quant à la Roumanie, elle impose au moins une femme – et un homme – sur chaque liste.;0;17;1;0;1;0
 Certains de ces pays ont assorti ces quotas de mesures devant assurer la présence de femmes en position éligible, mais les sanctions ne sont pas toujours dissuasives.;0;28;0;0;0;0
 Si les listes non conformes sont invalidées en Grèce, dans d’autres pays, comme en France et au Luxembourg, les contrevenants ne risquent qu’une amende.;0;25;3;0;0;0
 Ceux qui ont obtenu le plus de premiers choix sont élus d’emblée, ensuite les moins bien classés sont éliminés et leurs voix sont réparties entre les autres candidats, et cela en plusieurs tours, jusqu’à ce que tous les sièges soient pourvus.;0;42;0;0;0;0
 Pour éviter l’éparpillement des sièges entre de très nombreuses listes, la moitié des Etats (quatorze sur vingt-sept) ont fixé un seuil minimal pour obtenir un eurodéputé : il est de 5 % dans neuf pays (dont la France), 4 % en Autriche, Suède et Italie, 3 % en Grèce et 1,8 % à Chypre.;0;50;7;0;1;0
 Le seuil pour obtenir un siège apparaît au survol.;0;10;0;0;0;0
 Mise à jour le 23 mai : modification des données de l’article, dont la première version avait été publiée avant l’annonce des élections au Royaume-Uni.;0;26;2;0;1;0
 Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique MASERATI LEVANTE 89990 € 69 MASERATI GRANTURISMO 45000 € 58 ROLLS ROYCE GHOST 155000 € 98 Recherche Dans la même rubrique Services.;0;38;0;0;0;0
Rihanna : « Fenty, c’est moi, ce sont les pièces que je veux dans mon armoire »;1;15;1;1;1;0
 Et reprend son sérieux lorsqu’elle parle de Fenty : « C’est un grand moment pour moi, et pour toute ma génération, celle des millennials » Rihanna est votre nom de scène.;1;29;3;1;1;0
 Elle détaille sa stratégie au « Monde », construite sur du streetwear sexy et des boutiques éphémères.;1;16;1;0;0;1
Styles Mode C’est à Paris que la star lance sa marque Fenty.;0;12;4;0;1;0
 Mercredi 22 mai, une armée de vigiles garde l’entrée d’une galerie du Marais, à Paris.;0;15;2;0;1;0
 C’est au 10, rue de Turenne que Rihanna a installé sa première boutique éphémère, qui n’existera que pendant dix jours.;0;21;2;1;1;0
 En attendant son ouverture le vendredi 24 mai, c’est là qu’elle recevait quelques invités triés sur le volet.;0;18;0;0;0;0
 Pour la soutenir, il y avait Bernard Arnault et ses enfants Delphine, Antoine et Alexandre, respectivement directrice générale adjointe de Louis Vuitton, directeur général de Berluti ainsi que président de Loro Piana, et pour le dernier directeur général de Rimowa, mais aussi les designers du groupe (Maria Grazia Chiuri, Kris Van Assche, Guillaume Henry…) et d’autres créateurs sans lien avec LVMH, tels que Simon Jacquemus ou Olivier Rousteing (Balmain).;0;70;28;1;1;0
 L’espace n’est pas grand, et la queue risque d’être longue quand le pop-up ouvrira.;0;15;0;0;0;0
 Il a été habillé de bleu pour mettre en valeur la quarantaine de pièces essentiellement blanches, beiges et roses disposées sur des portants autour d’une tour centrale de lunettes de soleil.;0;32;0;0;0;0
 Ce mercredi après-midi, avec un retard raisonnable de deux heures, Rihanna entre en scène dans une robe-veste blanche Fenty fidèle à son style, manches extra-larges, jupe extra-courte.;0;28;2;1;1;0
 Il faut le reconnaître, Rihanna possède une aura singulière.;0;10;1;1;1;0
 Elle est à fond dans son rôle, répond avec enthousiasme aux questions, remercie quand elle reçoit un compliment, s’indigne, se passionne, fait rire son public.;0;26;0;0;0;1
 Pourquoi baptiser votre marque de votre nom de famille, Fenty ?;0;11;1;0;1;0
 C’est une décision consciente de séparer d’un côté Rihanna l’artiste, de l’autre le business et les collaborations.;0;18;1;1;1;0
 Je voulais que Fenty devienne une marque en soi, distincte de ma célébrité.;0;14;1;0;1;0
 Fenty, c’est moi, ce sont les pièces que je veux dans mon armoire, que j’ai envie de porter.;0;19;0;0;1;0
 C’est la manière dont je travaille : je ne sais faire que des choses que j’aime.;0;16;0;0;0;0
 Et puis, ce qui rend aussi cette marque unique, c’est que j’en suis la muse.;0;16;0;0;0;0
 Comment définissez-vous le style de votre marque ?;0;8;0;0;0;0
 Diversifié, adaptable.;0;3;0;0;0;0
 Et vous le verrez dans les mois à venir, quand les drops [la mise en vente pour un temps court d’articles inédits en nombre limité] vont continuer de sortir.;0;30;0;0;0;0
 Ma garde-robe s’adapte à tout, je n’ai pas un style en particulier.;0;13;0;0;0;0
 J’aime parfois être garçon manqué en costume , et le lendemain, j’aurai envie d’habits féminins, près du corps.;0;18;0;0;0;0
 J’aime les mocassins, les talons, les baskets.;0;8;0;0;0;0
 La plupart des femmes sont comme moi, elles s’habillent selon l’humeur du moment, pour elles-mêmes, pour se faire plaisir.;0;20;0;0;0;0
 Comment faire pour s’adresser à toutes les femmes ?;0;9;0;0;0;0
 Justement parce que Fenty est une marque multifacette, les clientes trouveront toujours quelque chose qu’elles aiment.;0;17;1;0;1;0
 C’est comme ça que j’ai pensé Fenty : parce que je m’ennuie très vite, j’ai besoin de changement tout le temps.;0;21;1;0;1;1
 C’est le genre de fille que je suis, et c’est comme ça que sera la collection.;0;17;0;0;0;0
 Fenty est une marque de luxe ?;0;7;0;0;1;0
